episode,success,near_miss,fail,first_pass_success,steps,time_s,capture_time_s,min_dist_m,init_px_m,init_py_m,init_pz_m,init_dist_m,init_bearing_rad
35,0,1,0,0,1251,25.04,nan,1.484930396080017,176.97116088867188,31.02859115600586,86.50764465332031,199.41197204589844,0.17356716096401215
36,1,0,0,0,259,5.2,5.2,0.8752716183662415,162.32972717285156,17.571943283081055,112.39935302734375,198.22544860839844,0.10782860219478607
37,0,1,0,0,1251,25.04,nan,1.0262815952301025,158.40003967285156,-39.95526885986328,115.62850952148438,200.14231872558594,-0.24708841741085052
38,0,1,0,0,1251,25.04,nan,1.0095616579055786,161.4460906982422,26.969202041625977,115.45201873779297,200.3031463623047,0.16551941633224487
39,0,1,0,0,1251,25.04,nan,1.3887954950332642,137.50633239746094,32.894561767578125,114.91588592529297,182.19688415527344,0.23480938374996185
40,0,1,0,0,1251,25.04,nan,1.0371356010437012,174.13807678222656,17.41313362121582,117.57904052734375,210.83670043945312,0.09966482222080231
41,1,0,0,1,251,5.04,5.04,0.82161545753479,160.4147186279297,0.19655829668045044,87.17351531982422,182.5709228515625,0.0012253128224983811
42,1,0,0,1,275,5.5200000000000005,5.5200000000000005,0.5100234746932983,169.08229064941406,5.299366474151611,112.87616729736328,203.3665008544922,0.031331680715084076
43,0,1,0,0,1251,25.04,nan,1.264007329940796,153.9567413330078,25.320247650146484,110.18115234375,191.00701904296875,0.16300418972969055
44,1,0,0,1,260,5.22,5.22,0.7726089954376221,148.9940948486328,13.915072441101074,109.97966766357422,185.7105255126953,0.09312333166599274
45,1,0,0,1,273,5.48,5.48,0.31583812832832336,171.3279571533203,-1.4632320404052734,111.27239227294922,204.29624938964844,-0.008540324866771698
46,0,0,1,0,1251,25.04,nan,1.5855233669281006,170.7986297607422,15.862259864807129,88.356689453125,192.95254516601562,0.09260549396276474
47,1,0,0,1,250,5.0200000000000005,5.0200000000000005,0.8800761103630066,150.44955444335938,-0.8399545550346375,98.85977172851562,180.02508544921875,-0.005582906771451235
48,1,0,0,1,257,5.16,5.16,0.5178804993629456,130.11024475097656,-22.176645278930664,109.4855728149414,171.48635864257812,-0.16882266104221344
49,1,0,0,1,267,5.36,5.36,0.8760309219360352,146.60183715820312,-19.90423011779785,108.33708953857422,183.37176513671875,-0.13494554162025452
50,1,0,0,0,247,4.96,4.96,0.9962731599807739,169.55062866210938,-11.072663307189941,80.3034439086914,187.93260192871094,-0.06521333754062653
51,0,1,0,0,1251,25.04,nan,1.1462035179138184,132.70950317382812,19.057334899902344,103.83598327636719,169.57861328125,0.1426268219947815
52,1,0,0,1,269,5.4,5.4,0.5491709113121033,150.4289093017578,-24.20509910583496,110.78498840332031,188.38275146484375,-0.15953972935676575
53,1,0,0,1,257,5.16,5.16,0.5335620641708374,134.36260986328125,-35.55158615112305,111.37808227539062,178.10755920410156,-0.25866666436195374
54,0,1,0,0,1251,25.04,nan,1.1923980712890625,172.37506103515625,-36.87831497192383,82.64703369140625,194.68873596191406,-0.21076495945453644
55,0,1,0,0,1251,25.04,nan,1.3288851976394653,162.5047607421875,19.16669464111328,87.51475524902344,185.56398010253906,0.117403045296669
56,0,1,0,0,1251,25.04,nan,1.2014784812927246,169.76560974121094,27.09440803527832,102.6542739868164,200.2307891845703,0.15826416015625
57,1,0,0,0,242,4.86,4.86,0.7640781998634338,165.61866760253906,-18.15644073486328,79.35921478271484,184.54562377929688,-0.10919193923473358
58,0,1,0,0,1251,25.04,nan,1.2417622804641724,136.70501708984375,22.399394989013672,84.91326904296875,162.4815673828125,0.16240887343883514
59,0,1,0,0,1251,25.04,nan,1.12122642993927,126.03858947753906,-8.281322479248047,79.35520935058594,149.1695556640625,-0.06561034917831421
60,1,0,0,1,248,4.98,4.98,0.6094198226928711,131.84970092773438,0.10275924950838089,104.49205780029297,168.2347869873047,0.0007793664699420333
61,1,0,0,1,250,5.0200000000000005,5.0200000000000005,0.4637822210788727,134.88108825683594,-30.257442474365234,98.8875732421875,169.96226501464844,-0.220673605799675
62,0,1,0,0,1251,25.04,nan,1.1532071828842163,121.61428833007812,1.5033544301986694,102.9970474243164,159.3759307861328,0.012361030094325542
63,0,1,0,0,1251,25.04,nan,1.0873138904571533,122.34495544433594,25.06725311279297,99.38876342773438,159.60821533203125,0.2020930051803589
64,1,0,0,1,242,4.86,4.86,0.985888659954071,121.77700805664062,14.628389358520508,78.5347671508789,145.64112854003906,0.11955155432224274
65,1,0,0,0,250,5.0200000000000005,5.0200000000000005,0.676927924156189,165.6151123046875,-2.865326166152954,96.69987487792969,191.80052185058594,-0.017299389466643333
66,1,0,0,0,260,5.22,5.22,0.8273706436157227,163.65135192871094,27.268699645996094,105.29074096679688,196.49806213378906,0.16510988771915436
67,0,1,0,0,1251,25.04,nan,1.1156412363052368,150.7494659423828,24.150854110717773,98.8591537475586,181.88401794433594,0.1588553786277771
68,1,0,0,0,247,4.96,4.96,0.7858888506889343,140.92922973632812,-27.911182403564453,98.06053161621094,173.94236755371094,-0.19552086293697357
69,0,0,1,0,1251,25.04,nan,1.5502994060516357,150.0427703857422,13.512845993041992,86.4493408203125,173.6920166015625,0.08981765061616898
70,1,0,0,1,256,5.14,5.14,0.5068109631538391,120.13459777832031,-20.850788116455078,111.39128875732422,165.1517333984375,-0.17184996604919434
71,1,0,0,1,255,5.12,5.12,0.7636572122573853,123.90232849121094,22.04344367980957,106.5775375366211,164.9135284423828,0.17606765031814575
72,1,0,0,0,241,4.84,4.84,0.9679391384124756,132.59388732910156,4.162261962890625,99.438720703125,165.7906036376953,0.031380750238895416
73,1,0,0,1,246,4.94,4.94,0.6598775386810303,136.82357788085938,-11.663058280944824,90.90229034423828,164.6813507080078,-0.0850360244512558
74,1,0,0,0,268,5.38,5.38,0.6762560606002808,178.46498107910156,15.763015747070312,101.43611145019531,205.88226318359375,0.08809692412614822
75,0,1,0,0,1251,25.04,nan,1.1405634880065918,143.9129638671875,-34.16567611694336,83.67001342773438,169.9379425048828,-0.23308999836444855
76,1,0,0,1,256,5.14,5.14,0.42847028374671936,148.51303100585938,-11.730156898498535,102.00828552246094,180.5530548095703,-0.07882038503885269
77,1,0,0,1,268,5.38,5.38,0.9862678647041321,161.49290466308594,-21.677955627441406,115.98497772216797,200.00601196289062,-0.13343708217144012
78,0,0,1,0,1251,25.04,nan,1.5928657054901123,172.91314697265625,38.10779571533203,83.45366668701172,195.743896484375,0.21691933274269104
79,0,1,0,0,1251,25.04,nan,1.1841979026794434,141.47055053710938,16.577289581298828,90.91515350341797,168.98013305664062,0.11664643883705139
80,0,1,0,0,1251,25.04,nan,1.0857632160186768,177.29653930664062,32.74700164794922,109.29452514648438,210.8357696533203,0.18264347314834595
81,1,0,0,0,270,5.42,5.42,0.9050018191337585,173.25869750976562,-32.37918472290039,103.16728210449219,204.23143005371094,-0.18475230038166046
82,0,0,1,0,1251,25.04,nan,1.7629120349884033,161.7959442138672,34.53779983520508,87.15426635742188,186.9937286376953,0.21030870079994202
83,1,0,0,1,248,4.98,4.98,0.9417188167572021,161.31546020507812,30.39027976989746,87.01021575927734,185.78758239746094,0.18620795011520386
84,1,0,0,1,240,4.82,4.82,0.3936971127986908,123.69189453125,-5.445111274719238,98.34929656982422,158.1199493408203,-0.04399316385388374
85,1,0,0,0,266,5.34,5.34,0.331320196390152,154.90518188476562,-1.898779034614563,115.4690170288086,193.21571350097656,-0.012257072143256664
86,0,1,0,0,1251,25.04,nan,1.2810707092285156,161.98411560058594,34.48805618286133,84.32484436035156,185.84658813476562,0.20977775752544403
87,1,0,0,1,255,5.12,5.12,0.8909960985183716,145.7067108154297,13.30665397644043,113.77995300292969,185.3466796875,0.09107230603694916
88,0,1,0,0,1251,25.04,nan,1.0853290557861328,175.71725463867188,19.81113624572754,104.0488510131836,205.171142578125,0.1122703030705452
89,0,1,0,0,1251,25.04,nan,1.4956308603286743,166.19903564453125,26.121801376342773,87.76285552978516,189.75453186035156,0.15589645504951477
90,1,0,0,0,255,5.12,5.12,0.9208745360374451,164.53468322753906,-17.58306312561035,84.92113494873047,185.99038696289062,-0.10646135360002518
91,0,1,0,0,1251,25.04,nan,1.279400110244751,142.45770263671875,29.74123191833496,106.55171203613281,180.36631774902344,0.2058161199092865
92,1,0,0,1,254,5.1000000000000005,5.1000000000000005,0.6787550449371338,172.73147583007812,30.908458709716797,80.39022064208984,193.01316833496094,0.1770653873682022
93,1,0,0,0,233,4.68,4.68,0.7058797478675842,128.01327514648438,-18.041379928588867,86.73225402832031,155.67713928222656,-0.14001154899597168
94,1,0,0,0,239,4.8,4.8,0.4658086597919464,136.337646484375,1.1790324449539185,86.48798370361328,161.4605712890625,0.008647670969367027
95,0,1,0,0,1251,25.04,nan,1.160126805305481,172.04238891601562,32.576725006103516,112.67799377441406,208.22140502929688,0.18713732063770294
96,1,0,0,1,254,5.1000000000000005,5.1000000000000005,0.5776614546775818,125.68556213378906,11.414233207702637,108.7525405883789,166.59609985351562,0.09056735038757324
